winner,opponent_1,opponent_2,community_cards,winner_card_type
"Js,Ac","Qc,Kd","5h,Qh","As,6d,Ad,Ah,7s",Four of a Kind
"7d,7h","8c,8h","3c,Kc","2s,3h,7c,9c,7s",Four of a Kind
"Js,Jc","Ah,Ad","8c,Qc","4c,Jh,Jd,Kc,7c",Four of a Kind
"Th,Qh","9c,9s","3c,Kc","Qs,5c,Qc,Qd,3d",Four of a Kind
"Js,Jc","Ah,Ad","7h,Kh","Jd,Jh,3h,4h,6d",Four of a Kind
"Qc,Kd","7c,Ac","Jc,Qh","7d,Jd,Kh,Kc,Ks",Four of a Kind
"6c,6h","9c,9s","5c,Ah","6d,2d,6s,Ac,9h",Four of a Kind
"Ks,Kc","Qh,Qc","7s,Qs","As,3c,Kh,8s,Kd",Four of a Kind
"Qd,Ah","Ts,As","2d,Ad","Qs,Qc,Th,9d,Qh",Four of a Kind
"7d,7h","Js,Jc","9d,Kd","Ks,7s,7c,As,2s",Four of a Kind
"7d,7h","Th,Qh","6c,Ac","Td,7s,Ad,7c,Tc",Four of a Kind
"Js,Jc","6c,6h","5d,Kd","Jd,Jh,2c,5c,7h",Four of a Kind
"Js,Jc","Tc,Th","6s,9s","Ts,Ks,Jh,Jd,8c",Four of a Kind
"Jh,Ah","4c,Ac","6h,Ks","Js,As,Jd,Jc,3c",Four of a Kind
"7d,7h","9c,9s","Jh,Qh","7s,3c,Qd,7c,4c",Four of a Kind
"8c,8h","Td,Kc","9c,Ah","8s,4c,Ts,8d,6h",Four of a Kind
"Ah,Ad","Qh,Qc","7h,Kh","8s,5s,Ac,As,Tc",Four of a Kind
"7d,7h","9c,Ah","3c,Qs","2s,Ad,5c,7c,7s",Four of a Kind
"3s,As","Td,Kd","9d,Jd","3h,3d,Ts,5c,3c",Four of a Kind
"Js,Jc","7c,Ac","8c,Qc","As,Jd,Jh,9h,3h",Four of a Kind
"Tc,Th","Ah,Ad","8c,Qc","Ts,Ks,3c,4h,Td",Four of a Kind
"5s,5h","7s,Ad","3c,Kd","3s,4s,As,2s,Kh",Straight Flush
"Qh,Qc","7s,Ad","8d,Ks","Ah,Qs,Qd,4d,4s",Four of a Kind
"Qh,Qc","6h,Ah","4c,Kh","Ks,As,5h,Qs,Qd",Four of a Kind
"Js,Ac","Tc,Th","6s,Ks","Ad,2c,Ah,2h,As",Four of a Kind
"8c,8h","6c,6h","7s,Qh","8d,5s,8s,Kh,6d",Four of a Kind
"9c,9s","Ah,Ad","7h,7s","2d,Tc,8s,9d,9h",Four of a Kind
"Tc,Th","8c,8h","2s,Js","Ts,3c,3d,Kc,Td",Four of a Kind
"Qh,Qc","8h,Ad","9c,Ah","8s,5d,Qd,Qs,5c",Four of a Kind
"9c,9s","5h,Ah","3h,3c","9h,4h,Kh,9d,2s",Four of a Kind
"8c,8h","Tc,Th","9s,Qh","8d,7d,6s,8s,2c",Four of a Kind
"Ks,Kc","Ah,Ad","Js,As","Kd,8d,6c,Kh,8s",Four of a Kind
"Qh,Qc","9c,Ac","7h,Td","Qs,9s,4c,6d,Qd",Four of a Kind
"8h,Kh","9c,9s","Ts,Qc","6s,Kc,4s,Kd,Ks",Four of a Kind
"Js,Jc","Qh,Qc","8d,Ks","Jd,3h,Jh,2c,9c",Four of a Kind
"7d,7h","8c,8h","5h,Ks","7c,7s,2s,2d,4h",Four of a Kind
"Tc,Th","6h,Ah","7s,Qs","Ts,Ac,Td,4s,5c",Four of a Kind
"8c,8h","Ah,Ad","5s,5d","Ts,2d,8s,8d,7s",Four of a Kind
"6c,6h","9c,9s","9d,Jd","6d,6s,Kh,8s,Kd",Four of a Kind
"5s,5h","Qh,Qc","9c,Ah","3d,5d,5c,Js,8s",Four of a Kind
"5s,5h","6c,6h","Ts,Qc","5d,5c,Qh,Qd,2h",Four of a Kind
"Js,Jc","Ah,Ad","9d,Qd","Ks,Jd,4h,Jh,3s",Four of a Kind
"Th,Qh","7s,Ad","8c,Ac","Jh,3d,Ah,Kh,7d",Royal Flush
"Qh,Qc","Ah,Ad","4s,Js","Qs,Qd,8d,Jh,2d",Four of a Kind
"8h,Kh","Td,Kc","6c,As","Th,Qh,8d,8c,8s",Four of a Kind
"6c,6h","7c,Ac","8c,Tc","9h,6s,7s,3d,6d",Four of a Kind
"5s,5h","9c,9s","4s,4c","5c,3c,Jh,Ks,5d",Four of a Kind
"7s,Ad","9h,Kh","3s,Js","7c,8d,Kd,7h,7d",Four of a Kind
"9h,Kh","Qs,Ks","5d,Kd","Kc,Qh,Jh,Qd,Th",Straight Flush
"Js,Qs","4c,Ac","7h,Td","4s,Qh,Qc,Kd,Qd",Four of a Kind
"6c,6h","Tc,Th","3s,Js","6s,9s,7c,6d,Qs",Four of a Kind
"Js,Jc","Kh,Ah","3h,Qh","Jd,4h,Jh,As,6d",Four of a Kind
"Js,Qs","Tc,Th","9d,Kd","Qd,6s,Qh,Qc,5c",Four of a Kind
"Tc,Th","Ah,Ad","7h,7s","Ts,8c,4h,Td,3h",Four of a Kind
"8c,8h","Kc,Ah","9d,Jd","8s,Kh,Ad,3s,8d",Four of a Kind
"5s,5h","9c,9s","8d,8c","Qc,7d,5d,Ah,5c",Four of a Kind
"Js,Jc","Ah,Ad","4c,Kh","Jh,8d,8s,Qs,Jd",Four of a Kind
"Ks,Kc","Ts,As","2h,Ac","Kh,Ah,Kd,3d,2d",Four of a Kind
"4c,Ac","8c,8h","Jd,Kd","2s,4h,8s,4s,4d",Four of a Kind
"7d,7h","9c,Ah","2h,Ac","9s,7c,7s,3h,6h",Four of a Kind
"7d,7h","6c,6h","4s,Js","6d,7s,2c,7c,Kh",Four of a Kind
"7d,7h","Js,Jc","8c,Kc","7c,5c,Kh,7s,Qc",Four of a Kind
"Qh,Ah","8h,Kh","5s,5d","2c,Qd,8c,Qs,Qc",Four of a Kind
"Qh,Qc","9c,9s","Td,As","Qs,4c,Ks,Qd,5h",Four of a Kind
"8h,Kh","Ah,Ad","6s,9s","Kc,5h,Ks,Kd,8s",Four of a Kind
"5s,5h","Ah,Ad","3d,As","Th,5d,Ac,5c,Kd",Four of a Kind
"Ks,Kc","Jh,Ah","8d,Tc","7s,Jd,Kd,Qs,Kh",Four of a Kind
"9c,9s","8c,8h","7h,Td","2c,9d,9h,Ts,4s",Four of a Kind
"9c,9s","Js,Ac","2s,2h","9h,Ad,5h,9d,7s",Four of a Kind
"5s,5h","7d,7h","6h,Ks","7c,5d,Tc,5c,6c",Four of a Kind
"Td,Kd","9c,Ah","Qc,Ac","Kh,As,4d,Kc,Ks",Four of a Kind
"7d,7h","Kc,Ah","Tc,Kd","Kh,Ac,5s,7s,7c",Four of a Kind
"Ks,Kc","Qh,Qc","3d,As","Kd,2c,Kh,5c,8c",Four of a Kind
"Js,Jc","8h,Kh","7s,Ad","Kd,Th,8c,Jd,Jh",Four of a Kind
"6c,6h","8h,Ad","7h,7s","Qc,Ac,6s,Qd,6d",Four of a Kind
"Tc,Th","Jh,Kh","7s,Qs","4h,Ts,Jc,Td,Ad",Four of a Kind
"Js,Qs","9c,Ah","Qc,Ac","3h,Ts,As,Kc,Ks",Royal Flush
"Ks,Kc","6h,Ah","4c,Qc","2h,Kd,3h,6d,Kh",Four of a Kind
"5s,5h","8h,Ah","6c,Jd","5c,Td,Ad,9h,5d",Four of a Kind
"Td,Kc","Js,Jc","2h,Kh","9c,Tc,Qs,Ts,Th",Four of a Kind
"5h,Ah","Td,Kd","3h,Qh","Ac,Ad,As,9h,7d",Four of a Kind
"5h,Ah","Ks,Kc","6c,As","5s,5c,4d,2h,5d",Four of a Kind
"Ks,Kc","Ts,As","3c,Qs","Ac,Kh,9d,Kd,7c",Four of a Kind
"6c,6h","Js,Jc","2h,Ac","9h,8s,6d,2s,6s",Four of a Kind
"5s,5h","9c,9s","2d,Ad","5d,3d,3c,5c,Jh",Four of a Kind
"6c,6h","Ts,As","5c,Ah","Tc,9c,6s,4h,6d",Four of a Kind
"4c,Ac","9c,9s","5d,Kd","3h,Ah,As,Ad,6d",Four of a Kind
"Ks,Kc","Tc,Th","6c,6d","Kd,Kh,5h,Qh,5c",Four of a Kind
"9c,Ac","Qh,Qc","5h,Ks","9d,5c,9h,3d,9s",Four of a Kind
"5s,5h","8c,8h","9c,Ah","3c,6s,7s,5c,5d",Four of a Kind
"5s,5h","Jh,Ah","Ts,Qc","5c,As,5d,Kc,Th",Four of a Kind
"Js,Jc","Ah,Ad","4s,4c","Jh,Qd,Jd,Qh,Td",Four of a Kind
"Tc,Th","Qs,Ks","8h,As","Td,Ts,Kc,5c,2h",Four of a Kind
"Ks,Kc","Qh,Ah","Td,As","Kd,Kh,Ad,4h,2s",Four of a Kind
"9c,9s","Js,Jc","6h,Jh","6s,9d,9h,8s,8d",Four of a Kind
"4c,Ac","9c,9s","8d,Ks","2c,5c,7c,3c,5h",Straight Flush
"Jh,Kh","Js,Jc","7c,Ac","Qs,Kd,4d,Kc,Ks",Four of a Kind
"Ks,Kc","Ah,Ad","6c,Jd","Kh,Kd,Ts,2s,9s",Four of a Kind
"Tc,Th","9c,9s","6h,Jh","Td,4s,3s,Ts,Kd",Four of a Kind
"8h,Kh","7s,Ad","9d,Kd","Th,8c,Ah,8s,8d",Four of a Kind
"Tc,Th","9c,Ac","2c,Ks","3h,9d,Ts,2d,Td",Four of a Kind
"5s,5h","Js,Jc","6c,As","7s,Jh,5d,5c,3s",Four of a Kind
"8c,8h","Ks,Kc","6c,Tc","8d,Qh,Kd,8s,Qd",Four of a Kind
"4c,Ac","Ks,Kc","7s,Qh","Ad,6d,9c,As,Ah",Four of a Kind
"7d,7h","Js,Jc","6c,Tc","9h,Qc,7c,2d,7s",Four of a Kind
"5h,Ah","8h,Kh","9s,Kc","2h,3h,9h,4h,8d",Straight Flush
"8c,8h","Qd,Ah","7d,9d","Ad,7h,8s,3c,8d",Four of a Kind
"Tc,Th","8h,Kh","4s,Js","Ts,4d,Kd,Td,3h",Four of a Kind
"5s,5h","Js,Ac","2h,Kh","5d,Jh,6d,5c,8d",Four of a Kind
"9c,9s","Ah,Ad","8d,Tc","9h,Kh,Qs,8c,9d",Four of a Kind
"5s,5h","Th,Qh","Jd,Kd","Qc,5c,Qd,5d,4h",Four of a Kind
"4c,Ac","Js,Jc","5d,Ad","7c,3h,3c,5c,2c",Straight Flush
"8c,8h","9c,9s","7h,Td","4d,4h,8s,8d,5h",Four of a Kind
"5s,5h","9c,9s","8d,8c","Td,2h,5c,5d,Qc",Four of a Kind
"Jh,Kh","Js,Qs","7c,Jd","Ah,Qh,4d,Th,5d",Royal Flush
"Td,As","8c,8h","9d,Kd","Js,Th,4h,Ts,Tc",Four of a Kind
"Qh,Ah","8h,Ad","Tc,Kc","As,Qc,Qs,Qd,6s",Four of a Kind
"Tc,Th","8c,8h","3s,Js","3d,Td,Ts,9s,3c",Four of a Kind
"Tc,Th","Ks,Kc","Qc,Ac","9c,Js,Ts,6c,Td",Four of a Kind
"Ks,Kc","Tc,Th","7s,Qh","As,6h,Kh,Kd,3h",Four of a Kind
"Kh,Ah","Qc,Kd","7h,7s","Kc,Jh,Ac,As,Ad",Four of a Kind
"8c,8h","3s,As","7s,Ad","8s,3h,2s,8d,2d",Four of a Kind
"6c,6h","Qh,Qc","2s,2h","3s,6d,3h,6s,5h",Four of a Kind
"Tc,Th","Ah,Ad","5s,5d","6h,9c,Kd,Ts,Td",Four of a Kind
"Qc,Kd","Jd,Ks","9c,Ah","Qh,Jh,Qs,Qd,2s",Four of a Kind
"Qh,Qc","Tc,Th","7s,Ad","7h,Ah,Js,Qs,Qd",Four of a Kind
"Ks,Kc","Ah,Ad","8s,Js","Kd,7d,9h,Kh,8d",Four of a Kind
"7d,7h","Js,Jc","5c,Ah","4c,Ad,7s,4d,7c",Four of a Kind
"6c,6h","Tc,Th","7h,7s","3s,3h,6d,6s,Ts",Four of a Kind
"Tc,Th","Qh,Qc","Jc,Kh","9c,Td,8s,Ts,Js",Four of a Kind
"6c,6h","Js,Jc","7s,Ad","6s,Ac,8d,Jh,6d",Four of a Kind
"5s,5h","Js,Jc","4s,Ac","2s,5d,5c,3h,Ts",Four of a Kind
"Tc,Th","Js,Ac","7d,9d","Ad,Ts,7c,Qh,Td",Four of a Kind
"Ks,Kc","Tc,Th","7s,Qs","Kd,3d,3c,Kh,5h",Four of a Kind
"6h,Ah","Js,Ac","9s,Qh","Jh,6s,Qd,6d,6c",Four of a Kind
"6c,6h","8h,Ad","Jc,Qh","6d,Ah,6s,As,5d",Four of a Kind
"5s,5h","Kh,Ah","Ts,Qc","5c,2h,Ac,5d,Qh",Four of a Kind
"7d,7h","Ah,Ad","8c,Tc","3s,5h,7s,Td,7c",Four of a Kind
"Qd,Ah","Td,Kd","8d,9h","Js,Qc,Ac,Qs,Qh",Four of a Kind
"5s,5h","4c,Ac","7s,Ad","4d,5d,5c,Tc,Th",Four of a Kind
"Td,Kd","6c,6h","2s,2h","6d,Kh,Kc,Ks,8s",Four of a Kind
"5s,5h","Td,As","Tc,Kc","5c,5d,Th,4d,6c",Four of a Kind
"Qh,Qc","4c,Ac","7h,Kh","4s,3d,Kd,Qs,Qd",Four of a Kind
"7d,7h","5h,Ah","6s,Qs","Th,As,7s,7c,3h",Four of a Kind
"7d,7h","Tc,Th","4d,Ad","7c,7s,4c,2s,Td",Four of a Kind
"6c,6h","Js,Jc","Ts,Qc","4s,Ad,5c,6d,6s",Four of a Kind
"Tc,Th","Js,Qs","6s,9s","5c,Ts,Qd,5d,Td",Four of a Kind
"Js,Jc","Tc,Th","6c,6d","5h,3c,Jd,Qh,Jh",Four of a Kind
"Qh,Qc","Kc,Ah","Jc,Kh","8s,As,Qs,Qd,7c",Four of a Kind
"Jh,Kh","Qh,Qc","7h,7s","Jc,9d,Ad,Js,Jd",Four of a Kind
"Js,Jc","9c,9s","7d,Kh","Ad,8h,Jh,Jd,5d",Four of a Kind
"Js,Jc","6c,6h","7s,Qh","Jd,Jh,4h,8h,4s",Four of a Kind
"8c,8h","Tc,Th","4s,Js","8s,3c,9d,8d,Qd",Four of a Kind
"Js,Jc","7c,Ac","7d,Kh","8d,Ah,Jd,5h,Jh",Four of a Kind
"Td,Kc","Kh,Ah","9c,Ac","Th,2d,Ts,9h,Tc",Four of a Kind
"Ks,Kc","4c,Ac","7s,Ad","Kd,8c,Ah,Kh,6s",Four of a Kind
"7d,7h","Ah,Ad","6c,As","3d,7s,Ts,7c,Jc",Four of a Kind
"7d,7h","4c,Ac","Jc,Qh","7c,7s,2d,4d,8s",Four of a Kind
"Qh,Qc","Kh,Ah","9d,Tc","6d,Kc,Qs,Qd,4c",Four of a Kind
"5h,Ah","6c,6h","Qs,Ks","4h,2h,Td,3h,Jd",Straight Flush
"7d,7h","Ts,As","Tc,Jc","7s,Ad,7c,4h,3d",Four of a Kind
"Tc,Th","Js,Jc","5s,5d","Td,Kh,7c,Ts,2h",Four of a Kind
"Js,Jc","7s,Ad","3c,Kd","Jh,4s,Ac,2s,Jd",Four of a Kind
"8h,Ah","9c,9s","3c,Qs","8c,8s,8d,Kd,2s",Four of a Kind
"8c,8h","6c,6h","4s,Js","8s,4h,8d,4c,Kd",Four of a Kind
"Qh,Qc","Js,Jc","4d,Kd","7c,7h,Qs,Qd,3h",Four of a Kind
"6c,6h","Ks,Kc","3c,Kd","Td,6d,8s,Qd,6s",Four of a Kind
"Ah,Ad","8c,8h","9d,Jd","Ac,2h,7s,Js,As",Four of a Kind
"Ks,Kc","9c,Ac","6c,Tc","9d,Kh,8c,7s,Kd",Four of a Kind
"9c,9s","7c,Ac","3s,Js","5s,6s,Ad,9h,9d",Four of a Kind
"Tc,Th","5s,5h","8d,Jc","2d,4h,7h,Ts,Td",Four of a Kind
"Js,Jc","Ks,Kc","3c,Qs","Kh,Jd,Ac,Jh,5s",Four of a Kind
"Th,Qh","Js,Jc","8d,9d","Ah,Kh,Jh,Ad,Ac",Royal Flush
"Ks,Kc","7c,Ac","8c,Qc","2s,3h,As,Kd,Kh",Four of a Kind
"Js,Jc","Qc,Kd","9s,Kc","Kh,Jd,Jh,3h,2d",Four of a Kind
"Td,As","Jd,Ks","8d,8c","Ah,Ac,Ad,Th,5s",Four of a Kind
"8c,8h","Js,Ac","5h,Jh","4d,As,8d,2d,8s",Four of a Kind
"8h,Ah","7d,7h","Th,Qh","9c,3h,2h,4h,5h",Straight Flush
"Js,Jc","9h,Kh","3h,Qh","Jd,Jh,Qc,Kd,Tc",Four of a Kind
"Tc,Th","6h,Ah","9c,Jh","6c,7d,2c,Td,Ts",Four of a Kind
"Qc,Kd","4c,Ac","Td,As","Qd,Qh,4s,5c,Qs",Four of a Kind
"7d,7h","Js,Jc","2c,Ks","Qs,6c,7s,7c,4c",Four of a Kind
"7d,7h","6c,6h","2h,Kh","7s,3d,Qc,4c,7c",Four of a Kind
"9h,Kh","Js,Jc","Tc,Kc","Qh,9s,9d,3d,9c",Four of a Kind
"7d,7h","6c,6h","8s,Js","5c,Ad,3s,7c,7s",Four of a Kind
"Js,Jc","Qd,Ah","8c,Ac","Ad,Jd,Tc,Jh,Kh",Four of a Kind
"8c,8h","Ah,Ad","Js,As","8d,3h,8s,2d,3s",Four of a Kind
"Ks,Kc","Js,Jc","3c,Qs","Kh,6h,Ad,4s,Kd",Four of a Kind
"7d,7h","8c,8h","3c,Kc","Qs,4h,7s,7c,9s",Four of a Kind
"Ah,Ad","Tc,Th","4s,Js","6d,Ac,Ks,As,7d",Four of a Kind
"Qh,Qc","8c,8h","Js,Ac","Jc,4h,Qs,Qd,5c",Four of a Kind
"Qs,Ks","Th,Qh","9d,Jd","Ts,Kh,7h,Kd,Kc",Four of a Kind
"Js,Jc","Ks,Kc","7s,Qh","5d,2s,Jd,Jh,9d",Four of a Kind
"Jh,Kh","8h,Ad","Js,As","Qh,Th,Ah,4s,Ac",Royal Flush
"Ah,Ad","Qh,Qc","Jc,Kh","5d,As,4h,Ac,2h",Four of a Kind
"Td,As","Js,Jc","8c,Tc","Ah,7s,7d,Ad,Ac",Four of a Kind
"8h,Ah","Qc,Kd","4s,Js","Jd,As,Ac,Ad,3s",Four of a Kind
"Ah,Ad","Tc,Th","8c,Kc","9h,As,Ac,6h,5c",Four of a Kind
"7s,Ad","Td,Kd","5h,Qd","Tc,7h,7c,2d,7d",Four of a Kind
"8c,8h","9c,9s","3s,As","8d,5d,5h,8s,6s",Four of a Kind
"9c,9s","Jd,Ks","5d,Ad","Js,9h,8c,9d,3s",Four of a Kind
"6c,6h","Ah,Ad","Th,Qh","8d,Jh,6d,6s,Tc",Four of a Kind
"Ts,As","Tc,Th","9d,Qd","5s,3d,Ac,Ad,Ah",Four of a Kind
"9c,9s","5s,5h","3c,Kc","As,5c,8s,9d,9h",Four of a Kind
"7d,7h","Kh,Ah","Tc,Kc","As,7s,9s,Ac,7c",Four of a Kind
"5s,5h","7d,7h","6s,Qs","6h,5c,5d,8d,9d",Four of a Kind
"Tc,Th","Qs,Ks","8c,Ac","Td,Ts,Kh,4c,7d",Four of a Kind
"Qh,Qc","Ks,Kc","9d,Kd","9c,Qd,7d,Qs,6s",Four of a Kind
"5s,5h","Ah,Ad","2c,Qc","Qs,6d,5c,6c,5d",Four of a Kind
"Tc,Th","Js,Ac","Qs,Ks","Jd,4s,Ts,Td,3s",Four of a Kind
"Tc,Th","Jh,Ah","7d,9d","Ad,Ts,3d,6h,Td",Four of a Kind
"6h,Ah","9h,Kh","3c,Kd","3h,9c,6c,6s,6d",Four of a Kind
"Js,Qs","Ah,Ad","3c,Kc","Ks,Qc,Ts,9s,Jd",Straight Flush
"Ah,Ad","Ks,Kc","2h,Kh","3s,Ac,4d,4s,As",Four of a Kind
"7s,Ad","Js,Jc","9c,Ac","6c,7c,7d,7h,Qc",Four of a Kind
"9h,Kh","5h,Ah","6s,Ks","Qh,Jh,Th,6h,Ts",Straight Flush
"9c,9s","7d,7h","Tc,Kd","4c,9h,9d,Ts,Ah",Four of a Kind
"4c,Ac","Qh,Qc","Tc,Kc","6h,9h,Ah,Ad,As",Four of a Kind
"9c,9s","Js,Jc","7h,Kh","Ac,5c,9h,8h,9d",Four of a Kind
"Kh,Ah","6c,6h","3s,As","Ks,Kd,2d,6d,Kc",Four of a Kind
"Js,Jc","9c,9s","Ks,Ac","7s,6h,Jh,Kd,Jd",Four of a Kind
"Tc,Th","9c,Ac","9d,Qd","6d,Ad,Td,Jc,Ts",Four of a Kind
"Qh,Qc","9h,Kh","3d,As","Ks,Qd,Jc,Qs,7h",Four of a Kind
"Qs,Ks","8c,8h","4d,Kd","6h,3d,Qc,Qh,Qd",Four of a Kind
"Jh,Ah","Qc,Kd","4s,Ac","Qh,Th,Jc,4c,Kh",Royal Flush
"Ks,Kc","8c,8h","Td,Jh","Kd,Kh,5s,6s,Jc",Four of a Kind
"6c,6h","Js,Jc","7d,Td","2h,9d,6d,5s,6s",Four of a Kind
"7d,7h","Qh,Ah","Td,Jh","7c,7s,Qs,2d,9d",Four of a Kind
"Kh,Ah","Qc,Kd","Tc,Jc","As,Ad,Jh,Ac,2s",Four of a Kind
"Td,As","5h,Ah","8d,9h","Th,Kc,5d,Ts,Tc",Four of a Kind
"Qh,Qc","8c,8h","4s,Ac","5s,Kh,Qd,Qs,3s",Four of a Kind
"Js,Qs","Tc,Th","3s,As","8s,9s,Ts,3d,9d",Straight Flush
"9c,9s","Kh,Ah","Td,Jh","9d,As,9h,Ts,7s",Four of a Kind
"7s,Ad","Kh,Ah","5s,5d","7c,7d,7h,6h,Ts",Four of a Kind
"Ah,Ad","Qh,Qc","6c,Tc","5h,Ac,As,Jc,4d",Four of a Kind
"5h,Ah","6c,6h","3c,Qs","4h,Kc,3h,2s,2h",Straight Flush
"3s,As","6c,6h","8d,9h","3h,Ah,3d,3c,Td",Four of a Kind
"8c,8h","5s,5h","Qc,Ac","8s,4c,3c,8d,6c",Four of a Kind
"Ah,Ad","8h,Kh","Jc,Qh","8c,Ac,As,6c,8s",Four of a Kind
"Tc,Th","Ks,Kc","2d,Ad","2c,Ts,5s,Qh,Td",Four of a Kind
"9c,9s","Td,Kd","3s,As","Ts,4d,9h,Ah,9d",Four of a Kind
"Ks,Kc","Qh,Ah","Td,Jh","Kh,9h,4s,Kd,Qd",Four of a Kind
"6c,6h","Ks,Kc","3c,Qs","7d,2s,7h,6d,6s",Four of a Kind
"9c,Ah","Ks,Kc","7d,Td","Qc,Ad,As,Qs,Ac",Four of a Kind
"7d,7h","Js,Jc","5d,Ad","Qc,7c,Ac,7s,8h",Four of a Kind
"Qc,Kd","9c,9s","Js,As","6d,Kh,Kc,Ks,Qh",Four of a Kind
"6c,6h","Td,As","2c,Qc","8d,6s,Ad,6d,8h",Four of a Kind
"Jd,Ks","Qh,Qc","6c,As","4h,8c,Kc,Kh,Kd",Four of a Kind
"Qs,Ks","9c,Ah","Td,Jh","Js,4d,As,Ts,8d",Royal Flush
"9h,Kh","6c,6h","4s,Js","2h,Kd,Ks,Kc,2s",Four of a Kind
"Tc,Th","Ks,Kc","9c,Ah","6h,6c,Td,Jc,Ts",Four of a Kind
"9h,Kh","8h,Ad","7h,7s","Jh,Ac,9d,Th,Qh",Straight Flush
"8c,8h","7d,7h","2d,Ad","3d,5h,8d,4s,8s",Four of a Kind
"Ks,Kc","9c,Ah","4c,Qh","As,6c,4h,Kd,Kh",Four of a Kind
"Jh,Kh","3s,As","7c,Ac","Ah,Qh,Qd,Th,2d",Royal Flush
"Kc,Ah","Qs,Ks","8d,8c","Ad,Ac,As,Qd,3c",Four of a Kind
"5s,5h","9c,Ah","8h,As","5d,Kh,Ad,5c,Jh",Four of a Kind
"Js,Jc","8h,Ah","9c,Tc","2d,Jh,8s,As,Jd",Four of a Kind
"Qh,Qc","Ts,As","4s,Ks","Qs,Qd,6h,Td,Kc",Four of a Kind
"8s,8d","Ac,As","3c,3d","8c,Tc,8h,4s,6h",Four of a Kind
"8s,8d","5d,Ad","Js,Kc","5h,8h,8c,Ah,9s",Four of a Kind
"5s,5c","Td,Tc","9s,As","5h,Ts,Jh,9h,5d",Four of a Kind
"Js,Ks","Qh,Qc","6d,Ad","Jh,Jc,4s,Jd,4h",Four of a Kind
"Td,Tc","7d,7s","9s,Qh","7c,Ts,Qc,3s,Th",Four of a Kind
"Jc,Jd","9s,Ks","3s,Qs","8c,Jh,9c,2s,Js",Four of a Kind
"Kc,Kd","Qh,Qc","5d,Ad","9s,2h,Ks,Kh,8s",Four of a Kind
"Jc,Jd","Ts,As","6c,6h","Jh,9c,Tc,3h,Js",Four of a Kind
"8s,8d","Ts,As","3d,Kc","Ac,4h,5d,8c,8h",Four of a Kind
"Jc,Jd","Ts,As","7s,Kc","Tc,Js,6c,Jh,9s",Four of a Kind
"Jc,Jd","Qs,Ks","5h,Kd","6d,Qh,Js,Jh,Ac",Four of a Kind
"Jc,Jd","Qh,Ah","8h,8c","7h,9h,Jh,Js,5s",Four of a Kind
"5s,5c","Td,Tc","Js,Ks","Qd,5h,5d,Ad,2s",Four of a Kind
"Qh,Qc","Ac,As","7d,Js","Qd,6c,Jc,Qs,9s",Four of a Kind
